countryLabel,geometryCountry,continentLabel,geometryContinent,musicFestivalLabel
Austria,Point(14.0 48.0),Europe,Point(7.0 46.0),Wien Modern
Austria,Point(14.0 48.0),Europe,Point(7.0 46.0),Donaukanaltreiben Festival
Austria,Point(14.0 48.0),Europe,Point(7.0 46.0),Lockenhaus Chamber Music Festival
Austria,Point(14.0 48.0),Europe,Point(7.0 46.0),Operklosterneuburg
Austria,Point(14.0 48.0),Europe,Point(7.0 46.0),Lehár Festival Bad Ischl
Austria,Point(14.0 48.0),Europe,Point(7.0 46.0),Q24471423
Austria,Point(14.0 48.0),Europe,Point(7.0 46.0),Q25991754
Austria,Point(14.0 48.0),Europe,Point(7.0 46.0),Q26720592
Austria,Point(14.0 48.0),Europe,Point(7.0 46.0),Glatt & Verkehrt
Austria,Point(14.0 48.0),Europe,Point(7.0 46.0),Q59638958
Austria,Point(14.0 48.0),Europe,Point(7.0 46.0),Q95839234
Azerbaijan,Point(47.7 40.3),Asia,Point(101.0 39.0),Gabala International Music Festival
Azerbaijan,Point(47.7 40.3),Europe,Point(7.0 46.0),Gabala International Music Festival
Azerbaijan,Point(47.7 40.3),Asia,Point(101.0 39.0),International World of Mugam Festival
Azerbaijan,Point(47.7 40.3),Europe,Point(7.0 46.0),International World of Mugam Festival
Azerbaijan,Point(47.7 40.3),Asia,Point(101.0 39.0),Baku International Jazz Festival
Azerbaijan,Point(47.7 40.3),Europe,Point(7.0 46.0),Baku International Jazz Festival
Azerbaijan,Point(47.7 40.3),Asia,Point(101.0 39.0),Uzeyir Hajibeyov International Music Festival
Azerbaijan,Point(47.7 40.3),Europe,Point(7.0 46.0),Uzeyir Hajibeyov International Music Festival
Azerbaijan,Point(47.7 40.3),Asia,Point(101.0 39.0),"""ZHARA"" International Music Festival"
Azerbaijan,Point(47.7 40.3),Europe,Point(7.0 46.0),"""ZHARA"" International Music Festival"
Bahrain,Point(50.551111 26.0675),Asia,Point(101.0 39.0),
Bangladesh,Point(89.866667 24.016667),Asia,Point(101.0 39.0),
Barbados,Point(-59.5525 13.17),North America,Point(-105.0 47.0),Barbados Jazz Festival
Barbados,Point(-59.5525 13.17),North America,Point(-105.0 47.0),Holder's Festival
Barbados,Point(-59.5525 13.17),North America,Point(-105.0 47.0),Classical/Pops Festival
Belarus,Point(28.046666666 53.528333333),Europe,Point(7.0 46.0),Pop Song Performers Contest Vitebsk
Belarus,Point(28.046666666 53.528333333),Europe,Point(7.0 46.0),Q28811061
Belarus,Point(28.046666666 53.528333333),Europe,Point(7.0 46.0),Q28843166
Belarus,Point(28.046666666 53.528333333),Europe,Point(7.0 46.0),Bela music
Belarus,Point(28.046666666 53.528333333),Europe,Point(7.0 46.0),Talkaŭski fest
Belarus,Point(28.046666666 53.528333333),Europe,Point(7.0 46.0),Q47507997
Belarus,Point(28.046666666 53.528333333),Europe,Point(7.0 46.0),Q76293052
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Tomorrowland
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q974341
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q1027456
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Festival of Flanders
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Festival de Wallonie
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Rock Werchter
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q1826200
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q1851476
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q1815538
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q1870776
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Les Francofolies de Spa
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Couleur Café
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q1961565
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q1962714
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Reggae Geel
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Reverze
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q1998933
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Pukkelpop
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q2049352
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Jazz Bilzen
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q2101395
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q2083035
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q2127678
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q2170725
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q2215788
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q2217415
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q2218437
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q2182448
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q2186627
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Les Ardentes
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q2199955
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q2228828
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q2171954
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Grensrock
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Rhâââ Lovely Festival
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q2271366
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q2279235
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q2286131
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Folk Dranouter
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q2295327
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q2299572
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q2302772
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q2314041
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q2350074
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q2322677
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q2333499
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q2341686
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q2374172
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q2397781
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q2420161
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Gentse Feesten
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q2411660
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q2459536
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q2443615
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Sjock Festival
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q2503437
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Laus Polyphoniae
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q2556485
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q2557088
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q2561341
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Dranouter folk festival
Belgium,Point(4.668055555 50.641111111),Europe,Point(7.0 46.0),Q2687170
